APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2010-
0028430000","Jan 31, 2011",Con Archivo (Preliminar),DELITOS CONTRA LA VOLUNTAD POPULAR
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020606-2010-
0003180000","Jan 24, 2011",Archivo Definitivo,PECULADO (DE USO)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,28º Fiscalia Provincial En Lo Penal De Lima,"00506010128-2010-
0006600000","Jan 24, 2011",Archivo Definitivo,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0002800000","Jan 17, 2011",Archivo Definitivo,ABUSO DE AUTORIDAD
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606010601-2007-
0009700000","Jan 13, 2011","Con Sobreseimiento(Juzgamiento
)",ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1º Fiscalia Superior Penal De Lima-Norte,"00606020613-2006-
0005880001","Jan 12, 2011",Con Dictamen,HOMICIDIO
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606010601-2005-
0011110000","Dec 28, 2010",Con Archivo (Preliminar),ESTAFA (ESTELIONATO)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2010-
0024620000","Dec 15, 2010",Con Archivo (Preliminar),DELITOS CONTRA LA FE PUBLICA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2010-
0023140000","Dec 6, 2010",Con Archivo (Preliminar),FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606010601-2008-
0001760000","Dec 2, 2010",Con Sobreseimiento,CONCUSION (COLUSION ILEGAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0024000000","Nov 24, 2010",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,03º Fiscalia Superior Penal De Ncpp De Piura,"02605060103-2010-
0000440000","Nov 23, 2010",Impugnacion Resuelta - Fiscal Superior,VIOLACION DE DOMICILIO
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0005340000","Nov 10, 2010",Archivo Definitivo,PECULADO
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0009170000","Nov 9, 2010",Derivado,DAÑOS
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,02° Fiscalia Provincial Prevencion Del Delito,"00507010952-2010-
0007490000","Nov 6, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004190000","Nov 5, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0005350000","Nov 4, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008320000","Nov 4, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008330000","Nov 4, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2008-
0005320000","Oct 19, 2010",Con Dictamen,USURPACION
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2010-
0000450000","Oct 15, 2010",Con Resolucion Emitida,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,2ª Fiscalia Provincial De Prevencion Del Delito Lima- Norte,"00606020607-2010-
0001910000","Oct 6, 2010",Archivo Definitivo,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (CONTAMINACION AMBIENTAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0014180000","Oct 5, 2010",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007710000","Sep 30, 2010",Derivado,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007750000","Sep 30, 2010",Derivado,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0008490000","Sep 30, 2010",Denuncia Pendiente,CONCUSION (PATROC.ILICIT.DE.INTER.PART.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007730000","Sep 30, 2010",Derivado,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007720000","Sep 30, 2010",Derivado,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007700000","Sep 30, 2010",Derivado,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0007740000","Sep 22, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004030000","Sep 15, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,01º Fiscalia Provincial Penal Corporativa De Tumbes,"03506090601-2007-
0001040004","Sep 14, 2010",Con Dictamen,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0009780000","Sep 14, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004210000","Sep 13, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004090000","Sep 10, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"RAMOS ZAPANA, RUBÉN",UPP,Puno,Fiscalía Provincial Mixta De San Antonio De Putina(Ncpp),"02706095001-2010-
0001980000","Sep 9, 2010",Con Archivo (Preliminar),CONTAMINACION Y PROPAGACION (TRAFICO DE PRODUCTOS NOCIVOS)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020606-2009-
0002670000","Sep 9, 2010",Archivo Definitivo,DELITOS AMBIENTALES
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004100000","Sep 6, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004080000","Sep 6, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020606-2009-
0004970000","Sep 3, 2010",Archivo Definitivo,CONTRA LA VIDA/EL CUERPO Y LA SALUD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0003870000","Sep 3, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0003860000","Sep 3, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0004110000","Sep 2, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Mixta De Amazonas(Ncpp),"01205017000-2010-
0001010000","Sep 1, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006770000","Sep 1, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006750000","Sep 1, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006730000","Sep 1, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0002580000","Sep 1, 2010",Formalizacion,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0015260000","Aug 27, 2010",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006580000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006620000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006600000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006590000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006570000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006560000","Aug 26, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,04º Fiscalia Superior En Lo Penal De Lima,"00506010113-2006-
0004560004","Aug 25, 2010",Con Dictamen,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006780000","Aug 24, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Mixta De Utcubamba(Ncpp),"01205077000-2010-
0000710000","Aug 24, 2010",Impugnacion Resuelta - Fiscal Superior,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006760000","Aug 24, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006610000","Aug 24, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006740000","Aug 24, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Superior Penal De Liquidacion De Piura,"02606010601-2005-
0012490000","Aug 20, 2010",Con Dictamen,CONTRA LOS MEDIOS DE TRANSPORTES Y COMUNICACIONES Y OTROS SERVICIOS PUBLICOS (PERTURB.MED.TRANSP.SERV.PUBLICO)
"COSTA SANTOLALLA, GINO FRANCISCO",Morado,Lima,43º Fiscalia Provincial En Lo Penal De Lima,"00506010143-2010-
0000190000","Aug 20, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2010-
0006500000","Aug 18, 2010",Derivado,VIOLACIÓN DE DOMICILIO  (ALLANAMIENTO ILEGAL)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Mixta De Utcubamba(Ncpp),"01205077000-2010-
0000650000","Aug 16, 2010",Calificacion De Impugnacion,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Mixta De Amazonas(Ncpp),"01205017000-2010-
0000930000","Aug 9, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406074502-2010-
0024620001","Aug 4, 2010",Consulta Resuelta,DELITOS CONTRA LA FE PUBLICA
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Mixta De Amazonas(Ncpp),"01205017000-2010-
0000890000","Jul 22, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO
"PINEDO ACHACA, LILIANA ANGÉLICA",Fuerza Popular,Lima Provincias,01° Fiscalia Provincial Penal De Mala(Ncpp),"01106010610-2009-
0001200000","Jul 19, 2010",Con Dictamen,ROBO AGRAVADO (DOS O MAS PERSONAS )
"SIMEÓN HURTADO, LUIS CARLOS",Acción Popular,Pasco,09º Fiscalia Provincial En Lo Penal De Lima,"00506010109-2008-
0001200000","Jul 12, 2010",Archivo Definitivo,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,01° Fiscalia  Provincial Penal Corporativa De Chachapoyas(Ncpp),"01206010602-2010-
0001190000","Jul 8, 2010",Con Archivo (Preliminar),ABUSO DE AUTORIDAD. (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,01°Fiscalia Provincial Mixta De Puente Piedra,"00606020613-2008-
0007070000","Jun 18, 2010",Archivo Definitivo,USURPACION (DESTRUCCION.ALTERAC.LIMITES)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020606-2009-
0002130000","Jun 14, 2010",Archivo Definitivo,DELITOS AMBIENTALES
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,2da. Fiscalia Provincial Mixta De Jauja,"02206060502-2010-
0001940000","Jun 11, 2010",Archivo Definitivo,DAÑOS
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,03° Fiscalia Provincial Penal Corporativa De  Arequipa,"01506014501-2009-
0052500000","May 24, 2010",Derivado (Preliminar),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,33º Fiscalia Provincial En Lo Penal De Lima,"00506010113-2006-
0004560002","May 13, 2010",Con Apelacion,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0006580000","May 5, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,01°Fiscalia Provincial Mixta De Puente Piedra,"00606020613-2009-
0006510000","Apr 27, 2010",Archivo Definitivo,DAÑOS
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2010-
0014190000","Apr 12, 2010",En Calificacion (Califica),ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0010750000","Apr 5, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0003850000","Mar 26, 2010",Archivo Definitivo,DAÑOS
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,01º Fiscalia Provincial Mixta De Bagua,"01206020606-2010-
0000980000","Mar 16, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO LABORAL
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0004900000","Mar 5, 2010",Archivo Definitivo,ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,02º Fiscalia Provincial Mixta De Bagua,"01206020602-2010-
0000500000","Feb 24, 2010",Con Dictamen,OBLIGACION DE HACER
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,01º Fiscalia Provincial Mixta De Bagua,"01206020606-2010-
0000970000","Feb 23, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO LABORAL
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,01º Fiscalia Provincial Mixta De Bagua,"01206020606-2010-
0000960000","Feb 23, 2010",Con Dictamen,CONTENCIOSO ADMINISTRATIVO LABORAL
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2009-
0051130000","Feb 21, 2010",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"ACATE CORONEL, EDUARDO GEOVANNI",APP,Loreto,1ª Fiscalia Superior Mixta Descentralizada De San Martin - Tarapoto,"02805080601-2010-
0000460001","Feb 16, 2010",Con Dictamen,CONTRA LOS MEDIOS DE TRANSPORTES Y COMUNICACIONES Y OTROS SERVICIOS PUBLICOS (PERTURB.MED.TRANSP.SERV.PUBLICO)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01° Fiscalia Superior Espec. En Delitos De Corrupcion De Funcionarios,"00505012901-2008-
0000110000","Feb 16, 2010",Con Dictamen,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,Fiscalia Superior Penal Transitoria De Lima Norte,"00606020615-2010-
0000030000","Feb 8, 2010",Con Dictamen,TRATA DE PERSONAS (LEY 28950)
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,02º Fiscalia Provincial Mixta Corporativa De Huancabamba,"02606030602-2008-
0002160001","Dec 7, 2009",Con Archivo (Preliminar),PECULADO (DE USO)
"ACATE CORONEL, EDUARDO GEOVANNI",APP,Loreto,02ºfiscalia Provincial Mixta De Alto Amazonas,"02806020602-2009-
0003510000","Nov 5, 2009",Con Demanda,MALTRATO FISICO
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Paita,"02606010601-2008-
0011920000","Nov 4, 2009",Con Archivo (Califica),ABUSO DE AUTORIDAD (OMISION Y REHUS.RETARD.ACTO.OFIC.)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,02º Fiscalia Provincial Mixta De Chachapoyas,"01206010602-2009-
0002030000","Oct 6, 2009",Archivo Definitivo,COACCION
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,48°Fiscalia Provincial En Lo Penal De Lima,"00506010148-2009-
0001140000","Oct 5, 2009",Archivo Definitivo,COACCION
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2007-
0004130002","Sep 28, 2009",Con Dictamen,VIOLACIÓN A LA LIBERTAD AL TRABAJO (IMPEDIMENTO.A.INTEGRAR.SINDICATO)
"GUIBOVICH ARTEAGA, OTTO NAPOLEÓN",Acción Popular,Ancash,04º Fiscalia Superior En Lo Penal De Lima,"00506010113-2006-
0004560003","Sep 21, 2009",Con Dictamen,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"RUÍZ PINEDO, ROLANDO RUBÉN",Acción Popular,San Martín,1ª Fiscalia Superior Mixta Descentralizada De San Martin - Tarapoto,"02805080601-2009-
0002630000","Sep 15, 2009",Con Resolucion Emitida,CONCUSION (COLUSION ILEGAL)
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2009-
0001170000","Sep 4, 2009",Archivo Definitivo,ABUSO DE AUTORIDAD
"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,02º Fiscalia Provincial Mixta Corporativa De Huancabamba,"02606034502-2009-
0000460000","Sep 1, 2009",Con Archivo (Preliminar),PECULADO (MALVERS.BIEN.PUB.C/DANOS)
"VÁSQUEZ BECERRA, JORGE",Acción Popular,Cusco,Fiscalia Provincial Mixta De Calca,"01806060400-2009-
0004190000","Aug 11, 2009",Archivo Definitivo,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (ATENTADO CONTRA LA AUTORIDAD)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,02º Fiscalia Provincial Mixta De Chachapoyas,"01206010602-2009-
0000300000","Jul 24, 2009",Archivo Definitivo,ABUSO DE AUTORIDAD
"CHEHADE MOYA, OMAR KARIM",APP,Lima,56ºfiscalia Provincial En Lo Penal De Lima,"00506010156-2007-
0001160000","Jul 24, 2009",Archivo Definitivo,CONTRA LA FUNCIÓN JURISDICCIONAL (FALSA DENUNCIA)
"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406070106-2006-
0000840000","Jul 22, 2009",Con Rubrica,VIOLACIÓN A LA LIBERTAD AL TRABAJO (RET.REMUNERAC.O.INDEMNIZACIONES)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01° Fiscalia Superior Espec. En Delitos De Corrupcion De Funcionarios,"00505012901-2009-
0000030000","Jul 21, 2009",Con Dictamen,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,02ºfiscalia Provincial Mixta De Puente Piedra,"00606020614-2009-
0000010000","Jul 17, 2009",Archivo Definitivo,USURPACION
"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,Lima,01° Fiscalia Provincial Penal Corporativa De  Arequipa,"01506014501-2009-
0034410000","Jul 13, 2009",Derivado (Califica),CONTRA LA FUNCIÓN JURISDICCIONAL (INTERFIERE PROCESOS JUDICIALES)
"PINEDO ACHACA, LILIANA ANGÉLICA",Fuerza Popular,Lima Provincias,01ºfiscalia Provincial Mixta De Mala,"01106010610-2009-
0001200001","Jul 6, 2009",Con Dictamen,ROBO AGRAVADO (DOS O MAS PERSONAS )
